PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
12,14,15,32.11,39.26,6
12,15,15,32.04,37.01,9
12,15,15,32.05,36.81,12
13,15,16,33.10,46.49,6
13,15,16,33.11,42.16,9
13,15,16,33.12,41.58,12
13,15,16,33.12,42.25,15
12,15,16,33.11,41.17,18
12,14,14,32.88,32.61,6
12,14,14,32.87,32.15,9
12,14,14,32.87,36.26,12
12,14,14,32.90,38.49,15
12,14,14,32.85,36.71,18
12,14,15,32.88,38.03,21
13,15,15,32.86,35.29,24
13,15,16,32.86,36.78,27
13,15,16,32.83,36.73,30
12,15,15,32.78,35.61,33
12,15,15,32.68,33.80,36
12,14,15,32.56,33.14,39
12,14,15,32.51,33.92,42
12,14,15,32.42,35.04,45
12,14,15,32.38,35.17,48
12,14,15,32.42,40.55,51
12,14,15,32.41,37.42,54
12,14,15,32.39,35.95,57
12,14,15,32.43,35.85,60
12,14,15,32.44,34.98,63
11,14,15,32.49,33.34,66
11,14,15,32.48,34.63,68
11,14,15,32.46,38.43,71
11,14,15,32.48,39.96,74
