PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
11,14,15,30.16,33.31,6
11,14,15,30.45,34.82,9
11,14,15,30.69,36.80,12
11,14,15,30.88,37.22,15
11,15,15,31.03,38.67,18
11,15,15,31.18,35.34,21
11,14,15,31.27,34.34,24
10,13,14,31.45,35.38,27
12,15,16,32.58,42.62,6
11,15,16,32.65,38.32,9
11,14,15,32.69,36.18,12
11,14,15,32.75,38.69,15
11,14,15,32.75,36.23,18
11,14,15,32.82,36.44,21
11,14,14,32.86,34.88,24
11,14,14,32.84,36.61,27
12,15,16,32.17,52.77,6
12,14,15,32.24,57.55,9
12,14,14,32.24,54.75,12
11,14,14,32.27,52.15,15
11,13,14,32.31,52.55,18
11,13,14,32.31,49.27,21
11,13,14,32.33,46.89,24
11,13,13,32.27,42.97,27
13,17,19,31.82,47.00,6
13,16,19,31.88,50.55,9
12,15,17,31.86,47.92,12
12,15,16,31.82,47.07,15
12,14,16,31.80,53.84,18
12,14,16,31.85,54.62,21
11,14,15,31.89,53.24,24
11,14,15,31.93,50.76,27
12,15,16,36.85,29.97,6
12,15,16,36.90,30.25,9
12,15,15,36.81,27.95,12
12,14,15,36.50,26.51,15
12,14,15,36.14,26.58,18
12,14,15,35.77,26.65,21
11,14,15,35.38,27.03,24
11,14,15,35.33,27.40,27
