PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
10,15,16,32.01,48.84,6
11,15,16,32.31,56.85,9
12,15,16,32.55,60.00,12
12,15,16,32.83,61.04,15
12,15,16,32.79,58.04,18
12,15,16,32.89,57.52,21
12,15,16,33.00,56.00,24
12,15,16,33.18,55.14,27
11,16,17,32.32,34.86,6
11,16,17,32.35,39.96,9
11,15,16,32.20,33.55,12
11,15,16,32.10,31.58,15
11,14,15,32.10,34.94,18
11,14,15,31.91,34.57,21
11,14,15,31.89,32.95,24
11,13,15,32.03,33.00,27
14,18,19,30.84,37.15,6
14,16,18,30.89,36.42,9
13,15,16,30.96,36.10,12
12,15,16,30.99,35.73,15
12,15,16,31.05,36.39,18
12,15,16,31.09,36.67,21
12,15,16,31.12,37.63,24
12,15,15,31.12,36.74,27
