PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
13,19,21,0.00,0.00,6
13,19,21,25.22,51.42,9
13,19,21,25.14,50.82,12
13,19,21,25.09,50.66,15
14,19,21,25.08,52.01,18
14,19,21,24.96,52.02,21
15,19,21,24.95,53.58,24
15,19,21,24.88,53.51,27
15,19,21,24.86,53.41,30
15,19,21,24.82,53.35,33
15,19,21,24.82,54.20,36
15,19,21,24.79,53.83,39
15,18,20,24.73,53.19,42
15,18,20,24.71,52.42,45
15,18,20,24.70,53.39,48
15,18,20,24.71,55.10,51
14,18,20,24.68,55.36,54
14,18,20,24.66,54.97,57
14,18,19,24.67,54.14,60
14,18,19,24.64,54.26,63
14,18,20,24.59,55.12,66
14,18,20,24.60,54.35,69
14,18,20,24.64,55.32,72
14,18,20,24.61,54.14,74
14,18,20,24.60,53.70,77
15,19,20,24.58,54.31,80
15,19,20,24.60,55.45,83
15,19,20,24.57,55.73,86
15,19,20,24.56,55.31,89
15,19,20,24.55,56.18,92
15,19,21,24.54,57.84,95
15,19,21,24.55,57.41,98
14,19,20,24.52,55.95,101
14,18,20,24.46,54.55,104
14,18,20,24.43,54.40,107
14,18,20,24.44,54.69,110
14,18,19,24.43,54.89,113
14,18,19,24.39,54.47,116
14,18,19,24.38,54.59,119
15,19,20,24.39,55.75,122
15,19,21,24.35,55.52,125
15,19,21,24.34,55.30,128
15,19,20,24.34,55.58,131
15,19,20,24.33,54.23,134
15,19,21,24.32,53.13,137
15,19,21,24.27,53.37,140
15,19,21,24.28,55.11,143
15,19,21,24.28,54.73,146
15,19,21,24.23,54.94,149
14,19,20,24.25,53.56,152
