PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
13,17,18,28.82,39.26,6
13,17,18,28.97,40.52,9
13,17,17,29.08,41.88,12
13,16,17,29.16,40.08,15
13,16,17,29.24,41.75,18
13,16,17,29.35,44.34,21
13,16,17,29.43,45.14,24
13,16,17,29.57,42.89,27
13,13,13,29.92,41.16,6
13,13,13,29.95,38.89,9
13,14,14,30.07,40.50,12
13,14,14,30.17,41.28,15
13,14,14,30.32,41.90,18
13,15,15,30.38,41.28,21
13,15,16,30.49,44.19,24
13,15,16,30.44,41.26,27
13,16,16,30.43,38.72,30
13,16,17,30.31,37.36,33
13,16,17,30.24,35.83,36
13,16,16,30.00,34.10,39
12,15,16,30.21,36.20,42
12,15,16,30.13,35.76,45
12,15,16,30.04,34.73,48
12,15,16,30.10,36.22,51
