PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
17,25,30,20.48,69.80,6
17,25,30,20.49,69.65,9
17,25,30,20.50,69.38,12
18,25,30,20.52,68.73,15
18,26,31,20.53,68.32,18
19,27,31,20.51,67.80,21
19,27,31,20.52,67.78,24
20,28,32,20.52,67.87,27
20,28,32,20.51,68.23,30
20,28,32,20.56,68.29,33
21,28,32,20.54,68.47,36
21,28,32,20.55,68.83,39
20,28,32,20.57,68.69,42
20,28,32,20.56,68.64,45
20,27,31,20.56,68.66,48
20,27,31,20.57,68.73,51
20,27,31,20.57,68.66,54
20,27,31,20.57,68.98,57
20,28,32,20.58,69.70,60
21,28,32,20.55,69.55,63
21,28,32,20.59,68.93,66
21,28,32,20.56,68.93,69
20,27,32,20.56,68.71,72
20,27,32,20.59,68.72,75
20,27,31,20.58,68.45,78
20,27,31,20.61,68.33,80
20,27,31,20.56,68.35,83
20,27,31,20.58,68.18,86
20,27,31,20.60,68.28,89
20,27,31,20.59,68.34,92
20,27,31,20.58,68.40,95
20,27,31,20.61,68.30,98
20,27,31,20.60,68.44,101
20,27,31,20.60,68.46,104
20,27,31,20.59,68.69,107
20,27,32,20.61,69.20,110
20,28,32,20.60,69.13,113
20,28,32,20.57,69.06,116
20,27,31,20.60,68.99,119
20,27,31,20.61,68.83,122
