PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
24,33,39,21.14,64.68,6
23,33,39,21.13,65.05,9
23,32,38,21.12,64.86,12
22,31,37,21.13,64.47,15
22,30,35,21.14,65.02,18
22,29,34,21.14,64.86,21
22,29,33,21.13,64.56,24
21,29,33,21.12,64.52,27
21,29,33,21.09,64.41,30
21,29,33,21.09,64.50,33
22,29,33,21.07,64.64,36
22,30,34,21.09,64.70,39
22,30,34,21.08,65.03,42
22,30,35,21.08,64.94,45
22,30,35,21.07,64.97,48
22,30,35,21.06,64.85,51
22,30,35,21.05,64.98,54
22,30,35,21.05,64.97,57
22,29,35,21.06,65.45,60
22,29,34,21.05,64.95,63
21,28,33,21.04,64.77,66
21,28,33,21.03,64.93,69
22,29,33,21.02,64.74,72
22,29,33,21.01,64.76,75
22,29,33,21.01,64.82,78
21,29,33,20.98,64.99,80
21,29,33,20.95,64.86,83
21,29,33,20.97,64.88,86
21,29,33,20.94,64.85,89
21,29,33,20.94,64.83,92
21,28,32,20.96,64.85,95
21,28,32,20.96,64.89,98
21,28,32,20.98,64.90,101
21,28,33,20.98,64.94,104
21,28,33,20.95,65.03,107
21,29,33,20.97,65.12,110
21,29,34,20.99,65.07,113
22,30,35,21.00,65.13,116
22,30,35,20.99,64.81,119
22,30,35,20.99,64.78,122
21,29,34,20.98,64.74,125
21,28,34,20.97,64.69,128
21,28,33,20.99,64.66,131
21,28,33,21.03,64.82,134
21,28,33,21.03,65.07,137
