PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
16,21,22,20.60,69.10,6
16,21,22,20.60,68.73,9
16,21,22,20.62,68.49,12
16,22,24,20.63,68.47,15
17,23,26,20.64,68.51,18
18,25,28,20.65,68.39,21
18,25,29,20.66,68.34,24
18,25,29,20.67,68.29,27
18,24,27,20.66,68.27,30
18,23,27,20.69,68.17,33
17,23,26,20.68,68.06,36
17,23,26,20.69,67.92,39
17,23,26,20.70,67.86,42
17,23,26,20.68,67.82,45
17,23,25,20.67,67.86,48
17,23,25,20.68,67.95,51
17,23,25,20.68,68.04,54
17,23,25,20.69,68.08,57
17,23,26,20.69,68.11,60
17,23,26,20.66,68.17,63
17,23,26,20.66,68.21,66
17,23,27,20.66,68.29,69
17,23,27,20.67,68.24,72
18,23,26,20.67,68.16,75
17,23,26,20.66,68.24,78
17,23,25,20.65,68.25,80
17,23,25,20.67,68.29,83
17,23,25,20.65,68.32,86
17,22,25,20.66,68.35,89
16,22,25,20.66,68.44,92
16,22,25,20.66,68.48,95
16,22,24,20.66,68.45,98
17,22,24,20.68,68.51,101
17,22,25,20.64,68.50,104
17,22,25,20.70,68.51,107
17,22,25,20.67,68.57,110
17,22,25,20.66,68.64,113
17,23,25,20.67,68.68,116
17,23,25,20.64,68.66,119
17,23,25,20.67,68.67,122
17,23,25,20.67,68.66,125
17,23,25,20.65,68.67,128
17,23,26,20.66,68.69,131
17,23,26,20.66,68.74,134
17,23,26,20.65,68.81,137
17,23,26,20.66,68.92,140
17,23,26,20.68,69.07,143
16,22,25,20.66,69.10,146
16,22,25,20.67,69.09,149
17,23,25,20.67,69.11,152
17,23,25,20.66,69.16,155
17,23,25,20.65,69.26,158
17,23,25,20.66,69.40,161
