PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
13,18,19,26.81,46.92,15
13,18,19,26.75,47.42,18
13,18,20,26.70,46.24,21
14,19,20,26.76,48.33,24
14,19,20,26.75,47.77,27
14,18,19,26.75,47.31,6
14,18,19,26.73,47.34,9
14,18,19,26.75,48.69,12
13,17,18,26.74,47.72,15
13,17,18,26.66,46.57,18
14,17,19,26.57,47.21,21
14,18,19,26.40,45.40,24
14,18,19,26.31,44.89,27
14,18,19,26.17,44.80,30
14,18,19,26.09,44.97,33
14,18,19,26.11,45.57,36
14,17,19,25.97,45.56,39
14,17,18,25.90,45.58,42
13,17,18,25.89,45.66,45
13,17,18,25.93,46.55,48
13,17,18,26.00,47.02,51
13,17,18,25.91,46.71,54
13,17,19,25.85,45.97,57
14,17,19,25.85,45.80,60
14,17,19,25.88,46.04,63
14,17,18,25.87,46.01,66
14,17,18,25.81,46.02,69
14,17,18,25.80,46.33,71
13,17,18,25.72,46.87,74
13,17,18,25.66,47.21,77
14,17,19,25.63,46.72,80
14,18,19,25.57,46.29,83
14,18,19,25.63,46.70,86
13,17,19,25.67,48.97,89
13,17,18,25.73,48.39,92
13,16,18,25.78,48.14,95
13,17,18,25.81,48.33,98
13,17,18,25.83,47.94,101
