PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
11,14,16,23.86,58.01,6
11,15,18,23.87,58.24,9
12,17,18,23.89,57.32,12
13,17,19,23.85,56.77,15
13,18,20,23.89,57.18,18
14,19,20,23.92,57.72,21
14,20,22,23.93,58.39,24
15,20,23,23.97,58.83,27
15,20,23,23.94,58.99,30
15,21,23,23.93,58.08,33
15,20,23,23.92,56.83,36
15,20,23,23.94,56.34,39
15,20,23,23.95,57.80,42
15,20,23,23.95,58.49,45
15,20,23,23.95,57.12,48
15,20,24,23.96,57.04,51
15,20,24,23.96,56.49,54
15,21,24,23.97,57.21,57
15,21,24,23.99,56.03,60
15,20,23,23.96,55.55,63
14,20,23,23.96,55.34,66
14,20,23,23.95,56.89,69
14,20,23,23.95,56.85,72
15,20,24,23.98,56.53,75
15,21,24,23.96,56.71,77
15,21,24,24.02,56.94,80
16,21,23,24.00,57.63,83
15,20,23,24.02,58.36,86
15,20,23,24.04,58.19,89
