PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
17,21,23,21.33,60.69,6
17,22,25,21.30,60.30,9
17,22,26,21.33,60.24,12
17,23,26,21.34,60.29,15
17,23,26,21.30,60.13,18
17,23,26,21.31,60.14,21
17,23,26,21.32,60.25,24
17,23,27,21.28,60.19,27
18,24,27,21.28,59.96,30
17,24,27,21.27,59.85,33
17,24,27,21.27,59.81,36
17,24,27,21.27,59.88,39
17,24,27,21.26,60.00,42
17,23,27,21.26,60.06,45
17,23,27,21.26,60.21,48
18,24,27,21.26,60.14,51
18,24,27,21.25,60.22,54
18,24,27,21.22,60.16,57
18,24,27,21.26,60.15,60
18,24,27,21.23,60.18,63
18,24,27,21.26,60.41,66
18,24,27,21.23,60.31,69
18,24,27,21.24,60.40,72
18,24,27,21.24,60.39,75
18,24,27,21.28,60.40,77
18,24,27,21.25,60.43,80
18,24,27,21.27,60.37,83
18,24,27,21.24,60.42,86
18,24,27,21.26,60.82,89
18,24,27,21.27,60.62,92
18,24,27,21.22,60.36,95
18,24,27,21.25,60.30,98
18,24,27,21.22,60.50,101
18,24,27,21.22,60.39,104
18,24,27,21.21,60.30,107
18,25,28,21.21,60.24,110
19,25,29,21.22,60.33,113
19,26,29,21.21,60.39,116
19,26,30,21.20,60.47,119
19,26,29,21.23,60.57,122
19,25,29,21.20,60.38,125
