PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
16,22,25,22.03,57.59,6
16,21,25,22.01,57.44,9
16,21,24,21.95,57.76,12
16,21,24,21.95,57.81,15
15,21,24,21.90,58.14,18
15,21,24,21.88,58.24,21
15,21,25,21.84,58.43,24
16,21,25,21.80,58.29,27
16,21,25,21.74,58.20,30
16,21,25,21.70,58.51,33
16,22,25,21.68,58.76,36
16,22,25,21.63,58.89,39
17,23,26,21.59,59.15,42
17,23,26,21.58,59.37,45
17,23,26,21.53,59.46,48
16,23,26,21.53,59.46,51
16,22,25,21.45,59.49,54
16,22,25,21.46,59.86,57
16,22,25,21.42,59.68,60
16,23,25,21.43,59.88,63
16,23,26,21.41,59.83,66
17,23,25,21.37,59.54,69
17,23,25,21.35,59.04,72
17,23,25,21.31,58.77,75
16,22,25,21.26,58.65,78
16,22,25,21.24,58.69,80
16,22,25,21.21,58.68,83
16,21,23,21.18,58.76,86
16,21,23,21.16,58.85,89
16,20,22,21.15,59.05,92
16,20,22,21.12,59.14,95
16,20,22,21.14,59.41,98
16,20,23,21.12,59.53,101
16,20,23,21.13,59.50,104
16,20,23,21.10,59.47,107
16,21,23,21.10,59.50,110
16,21,23,21.09,59.54,113
