PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
15,19,20,28.40,47.85,6
14,18,20,28.41,48.95,9
14,17,19,28.40,47.80,12
13,16,19,28.40,49.69,15
13,16,19,28.40,50.50,18
12,16,18,28.39,47.17,21
12,16,18,28.37,46.46,24
12,16,17,28.34,46.69,27
11,14,16,28.31,47.69,6
11,14,16,28.33,48.51,9
11,15,16,28.35,48.71,12
11,15,17,28.34,50.01,15
11,15,17,28.36,50.10,18
12,15,17,28.34,49.18,21
12,15,17,28.35,47.53,24
12,15,17,28.34,49.31,27
11,15,16,28.22,50.02,6
11,15,16,28.21,49.54,9
11,15,16,28.19,49.17,12
12,15,16,28.20,49.07,15
12,15,16,28.14,46.80,18
12,15,16,28.12,44.93,21
12,15,16,28.09,47.13,24
12,15,16,28.04,46.22,27
