PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec,source_file
12,16,17,26.4,44.97,21,Zuzino_dvor.CSV
12,16,17,26.47,44.97,24,Zuzino_dvor.CSV
12,16,17,26.49,45.6,27,Zuzino_dvor.CSV
13,16,18,26.51,47.46,30,Zuzino_dvor.CSV
14,16,17,26.61,46.21,6,Zuzino_dvor.CSV
15,16,18,26.58,44.73,9,Zuzino_dvor.CSV
15,17,18,26.62,45.19,12,Zuzino_dvor.CSV
14,17,18,26.64,45.93,15,Zuzino_dvor.CSV
14,16,17,26.66,44.84,18,Zuzino_dvor.CSV
14,16,17,26.68,45.8,21,Zuzino_dvor.CSV
14,16,17,26.67,46.5,24,Zuzino_dvor.CSV
14,16,17,26.61,45.78,27,Zuzino_dvor.CSV
14,18,19,26.75,47.31,6,Obruchevskiy_dvor.CSV
14,18,19,26.73,47.34,9,Obruchevskiy_dvor.CSV
14,18,19,26.75,48.69,12,Obruchevskiy_dvor.CSV
13,17,18,26.74,47.72,15,Obruchevskiy_dvor.CSV
13,17,18,26.66,46.57,18,Obruchevskiy_dvor.CSV
14,17,19,26.57,47.21,21,Obruchevskiy_dvor.CSV
14,18,19,26.4,45.4,24,Obruchevskiy_dvor.CSV
14,18,19,26.31,44.89,27,Obruchevskiy_dvor.CSV
14,18,19,26.17,44.8,30,Obruchevskiy_dvor.CSV
14,18,19,26.09,44.97,33,Obruchevskiy_dvor.CSV
14,18,19,26.11,45.57,36,Obruchevskiy_dvor.CSV
14,17,19,25.97,45.56,39,Obruchevskiy_dvor.CSV
14,17,18,25.9,45.58,42,Obruchevskiy_dvor.CSV
13,17,18,25.89,45.66,45,Obruchevskiy_dvor.CSV
13,17,18,25.93,46.55,48,Obruchevskiy_dvor.CSV
13,17,18,26.0,47.02,51,Obruchevskiy_dvor.CSV
13,17,18,25.91,46.71,54,Obruchevskiy_dvor.CSV
13,17,19,25.85,45.97,57,Obruchevskiy_dvor.CSV
14,17,19,25.85,45.8,60,Obruchevskiy_dvor.CSV
14,17,19,25.88,46.04,63,Obruchevskiy_dvor.CSV
14,17,18,25.87,46.01,66,Obruchevskiy_dvor.CSV
14,17,18,25.81,46.02,69,Obruchevskiy_dvor.CSV
14,17,18,25.8,46.33,71,Obruchevskiy_dvor.CSV
13,17,18,25.72,46.87,74,Obruchevskiy_dvor.CSV
13,17,18,25.66,47.21,77,Obruchevskiy_dvor.CSV
14,17,19,25.63,46.72,80,Obruchevskiy_dvor.CSV
14,18,19,25.57,46.29,83,Obruchevskiy_dvor.CSV
14,18,19,25.63,46.7,86,Obruchevskiy_dvor.CSV
13,17,19,25.67,48.97,89,Obruchevskiy_dvor.CSV
13,17,18,25.73,48.39,92,Obruchevskiy_dvor.CSV
13,16,18,25.78,48.14,95,Obruchevskiy_dvor.CSV
13,17,18,25.81,48.33,98,Obruchevskiy_dvor.CSV
13,17,18,25.83,47.94,101,Obruchevskiy_dvor.CSV
13,16,17,29.35,44.34,21,Lomonosovskiy_dvor.CSV
13,16,17,29.43,45.14,24,Lomonosovskiy_dvor.CSV
13,16,17,29.57,42.89,27,Lomonosovskiy_dvor.CSV
13,13,13,29.92,41.16,6,Lomonosovskiy_dvor.CSV
13,13,13,29.95,38.89,9,Lomonosovskiy_dvor.CSV
13,14,14,30.07,40.5,12,Lomonosovskiy_dvor.CSV
13,14,14,30.17,41.28,15,Lomonosovskiy_dvor.CSV
13,14,14,30.32,41.9,18,Lomonosovskiy_dvor.CSV
13,15,15,30.38,41.28,21,Lomonosovskiy_dvor.CSV
13,15,16,30.49,44.19,24,Lomonosovskiy_dvor.CSV
13,15,16,30.44,41.26,27,Lomonosovskiy_dvor.CSV
13,16,16,30.43,38.72,30,Lomonosovskiy_dvor.CSV
13,16,17,30.31,37.36,33,Lomonosovskiy_dvor.CSV
13,16,17,30.24,35.83,36,Lomonosovskiy_dvor.CSV
13,16,16,30.0,34.1,39,Lomonosovskiy_dvor.CSV
15,19,22,25.05,47.39,21,Konkovo_dvor.CSV
15,19,21,25.04,47.55,24,Konkovo_dvor.CSV
14,19,21,25.07,47.51,27,Konkovo_dvor.CSV
14,19,21,25.05,47.46,30,Konkovo_dvor.CSV
14,19,21,25.09,48.04,33,Konkovo_dvor.CSV
14,19,21,25.1,48.42,36,Konkovo_dvor.CSV
14,18,20,25.06,47.79,39,Konkovo_dvor.CSV
14,18,20,25.07,47.7,42,Konkovo_dvor.CSV
14,18,20,25.08,47.83,45,Konkovo_dvor.CSV
14,18,20,25.09,47.8,48,Konkovo_dvor.CSV
14,18,20,25.09,48.05,51,Konkovo_dvor.CSV
14,19,21,25.1,49.62,54,Konkovo_dvor.CSV
14,19,21,25.1,50.68,57,Konkovo_dvor.CSV
14,19,21,25.15,50.62,60,Konkovo_dvor.CSV
14,18,20,25.18,52.16,63,Konkovo_dvor.CSV
12,18,20,25.18,49.3,6,Konkovo_dvor.CSV
12,18,20,25.19,50.03,9,Konkovo_dvor.CSV
12,17,19,25.19,49.67,12,Konkovo_dvor.CSV
12,17,19,25.21,50.49,15,Konkovo_dvor.CSV
13,17,19,25.23,50.49,18,Konkovo_dvor.CSV
13,17,18,25.22,50.96,21,Konkovo_dvor.CSV
13,16,18,25.23,51.62,24,Konkovo_dvor.CSV
13,16,18,25.25,50.53,27,Konkovo_dvor.CSV
13,16,18,29.0,36.93,21,Akademicheskaya_dvor.CSV
13,17,18,28.97,37.16,24,Akademicheskaya_dvor.CSV
13,17,17,28.94,37.69,27,Akademicheskaya_dvor.CSV
12,14,14,28.72,37.96,6,Akademicheskaya_dvor.CSV
12,14,15,28.71,38.09,9,Akademicheskaya_dvor.CSV
12,15,16,28.74,38.2,12,Akademicheskaya_dvor.CSV
13,16,17,28.66,37.88,15,Akademicheskaya_dvor.CSV
14,16,17,28.51,37.87,18,Akademicheskaya_dvor.CSV
14,16,17,28.55,37.71,21,Akademicheskaya_dvor.CSV
14,17,18,28.5,37.59,24,Akademicheskaya_dvor.CSV
14,17,18,28.4,37.59,27,Akademicheskaya_dvor.CSV
11,13,14,30.17,39.99,21,Gagarinskiy_dvor.CSV
11,13,14,30.26,42.92,24,Gagarinskiy_dvor.CSV
11,13,14,30.26,40.01,27,Gagarinskiy_dvor.CSV
11,15,16,30.37,38.28,9,Gagarinskiy_dvor.CSV
11,15,16,30.43,42.16,12,Gagarinskiy_dvor.CSV
11,14,16,30.49,45.44,15,Gagarinskiy_dvor.CSV
11,14,15,30.58,50.03,18,Gagarinskiy_dvor.CSV
11,14,15,30.62,51.03,21,Gagarinskiy_dvor.CSV
11,14,14,30.7,49.53,24,Gagarinskiy_dvor.CSV
11,13,14,30.73,45.87,27,Gagarinskiy_dvor.CSV
20,28,32,20.52,67.87,27,NButovo_dvor.CSV
20,28,32,20.51,68.23,30,NButovo_dvor.CSV
20,28,32,20.56,68.29,33,NButovo_dvor.CSV
20,28,32,20.57,68.69,42,NButovo_dvor.CSV
20,28,32,20.56,68.64,45,NButovo_dvor.CSV
20,27,31,20.56,68.66,48,NButovo_dvor.CSV
20,27,31,20.57,68.73,51,NButovo_dvor.CSV
20,27,31,20.57,68.66,54,NButovo_dvor.CSV
20,27,31,20.57,68.98,57,NButovo_dvor.CSV
20,28,32,20.58,69.7,60,NButovo_dvor.CSV
20,27,32,20.56,68.71,72,NButovo_dvor.CSV
20,27,32,20.59,68.72,75,NButovo_dvor.CSV
20,27,31,20.58,68.45,78,NButovo_dvor.CSV
20,27,31,20.61,68.33,80,NButovo_dvor.CSV
20,27,31,20.56,68.35,83,NButovo_dvor.CSV
20,27,31,20.58,68.18,86,NButovo_dvor.CSV
20,27,31,20.6,68.28,89,NButovo_dvor.CSV
20,27,31,20.59,68.34,92,NButovo_dvor.CSV
20,27,31,20.58,68.4,95,NButovo_dvor.CSV
20,27,31,20.61,68.3,98,NButovo_dvor.CSV
