PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec,source_file
12,16,18,28.39,47.17,21,Zuzino_park.CSV
12,16,18,28.37,46.46,24,Zuzino_park.CSV
12,16,17,28.34,46.69,27,Zuzino_park.CSV
11,14,16,28.31,47.69,6,Zuzino_park.CSV
11,14,16,28.33,48.51,9,Zuzino_park.CSV
11,15,16,28.35,48.71,12,Zuzino_park.CSV
11,15,17,28.34,50.01,15,Zuzino_park.CSV
11,15,17,28.36,50.1,18,Zuzino_park.CSV
12,15,17,28.34,49.18,21,Zuzino_park.CSV
12,15,17,28.35,47.53,24,Zuzino_park.CSV
12,15,17,28.34,49.31,27,Zuzino_park.CSV
11,15,16,28.22,50.02,6,Zuzino_park.CSV
11,15,16,28.21,49.54,9,Zuzino_park.CSV
11,15,16,28.19,49.17,12,Zuzino_park.CSV
12,15,16,28.2,49.07,15,Zuzino_park.CSV
12,15,16,28.14,46.8,18,Zuzino_park.CSV
12,15,16,28.12,44.93,21,Zuzino_park.CSV
12,15,16,28.09,47.13,24,Zuzino_park.CSV
12,15,16,28.04,46.22,27,Zuzino_park.CSV
16,21,25,21.8,58.29,27,Yasenevo_park.CSV
16,21,25,21.74,58.2,30,Yasenevo_park.CSV
16,21,25,21.7,58.51,33,Yasenevo_park.CSV
16,22,25,21.68,58.76,36,Yasenevo_park.CSV
16,22,25,21.63,58.89,39,Yasenevo_park.CSV
16,23,26,21.53,59.46,51,Yasenevo_park.CSV
16,22,25,21.45,59.49,54,Yasenevo_park.CSV
16,22,25,21.46,59.86,57,Yasenevo_park.CSV
16,22,25,21.42,59.68,60,Yasenevo_park.CSV
16,23,25,21.43,59.88,63,Yasenevo_park.CSV
16,23,26,21.41,59.83,66,Yasenevo_park.CSV
16,22,25,21.26,58.65,78,Yasenevo_park.CSV
16,22,25,21.24,58.69,80,Yasenevo_park.CSV
16,22,25,21.21,58.68,83,Yasenevo_park.CSV
16,21,23,21.18,58.76,86,Yasenevo_park.CSV
16,21,23,21.16,58.85,89,Yasenevo_park.CSV
16,20,22,21.15,59.05,92,Yasenevo_park.CSV
16,20,22,21.12,59.14,95,Yasenevo_park.CSV
16,20,22,21.14,59.41,98,Yasenevo_park.CSV
16,20,23,21.12,59.53,101,Yasenevo_park.CSV
16,20,23,21.13,59.5,104,Yasenevo_park.CSV
16,20,23,21.1,59.47,107,Yasenevo_park.CSV
16,21,23,21.1,59.5,110,Yasenevo_park.CSV
16,21,23,21.09,59.54,113,Yasenevo_park.CSV
23,32,38,20.05,69.68,33,SButovo_park.CSV
23,32,38,20.02,69.6,36,SButovo_park.CSV
23,32,39,20.0,69.76,39,SButovo_park.CSV
23,32,39,19.99,69.76,42,SButovo_park.CSV
23,33,40,19.97,69.58,45,SButovo_park.CSV
23,33,40,19.99,69.76,48,SButovo_park.CSV
23,33,40,19.96,69.9,51,SButovo_park.CSV
23,33,40,19.92,69.93,54,SButovo_park.CSV
23,32,39,19.92,69.91,57,SButovo_park.CSV
23,32,39,19.88,70.09,60,SButovo_park.CSV
23,32,39,19.87,70.36,63,SButovo_park.CSV
23,32,39,19.84,71.11,72,SButovo_park.CSV
23,32,39,19.8,70.86,75,SButovo_park.CSV
23,32,39,19.76,70.54,78,SButovo_park.CSV
23,32,38,19.65,70.29,80,SButovo_park.CSV
23,32,38,19.61,70.58,83,SButovo_park.CSV
23,32,38,19.57,70.92,86,SButovo_park.CSV
23,32,38,19.57,71.33,89,SButovo_park.CSV
23,32,38,19.5,71.6,92,SButovo_park.CSV
23,32,38,19.46,71.73,95,SButovo_park.CSV
23,32,38,19.43,71.58,98,SButovo_park.CSV
23,32,38,19.42,71.65,101,SButovo_park.CSV
23,32,38,19.36,71.61,104,SButovo_park.CSV
23,32,38,19.39,71.7,107,SButovo_park.CSV
23,32,37,19.4,72.28,110,SButovo_park.CSV
23,32,37,19.38,72.69,113,SButovo_park.CSV
23,32,37,19.38,72.86,116,SButovo_park.CSV
23,32,37,19.4,73.45,119,SButovo_park.CSV
23,32,37,19.36,73.65,122,SButovo_park.CSV
14,19,21,24.96,52.02,21,Konkovo_park.CSV
15,19,21,24.95,53.58,24,Konkovo_park.CSV
15,19,21,24.88,53.51,27,Konkovo_park.CSV
15,19,21,24.86,53.41,30,Konkovo_park.CSV
15,19,21,24.82,53.35,33,Konkovo_park.CSV
15,19,21,24.82,54.2,36,Konkovo_park.CSV
15,19,21,24.79,53.83,39,Konkovo_park.CSV
15,18,20,24.73,53.19,42,Konkovo_park.CSV
15,18,20,24.71,52.42,45,Konkovo_park.CSV
15,18,20,24.7,53.39,48,Konkovo_park.CSV
15,18,20,24.71,55.1,51,Konkovo_park.CSV
14,18,20,24.68,55.36,54,Konkovo_park.CSV
14,18,20,24.66,54.97,57,Konkovo_park.CSV
14,18,19,24.67,54.14,60,Konkovo_park.CSV
14,18,19,24.64,54.26,63,Konkovo_park.CSV
14,18,20,24.59,55.12,66,Konkovo_park.CSV
14,18,20,24.6,54.35,69,Konkovo_park.CSV
14,18,20,24.64,55.32,72,Konkovo_park.CSV
14,18,20,24.61,54.14,74,Konkovo_park.CSV
14,18,20,24.6,53.7,77,Konkovo_park.CSV
15,19,20,24.58,54.31,80,Konkovo_park.CSV
15,19,20,24.6,55.45,83,Konkovo_park.CSV
15,19,20,24.57,55.73,86,Konkovo_park.CSV
15,19,20,24.56,55.31,89,Konkovo_park.CSV
15,19,20,24.55,56.18,92,Konkovo_park.CSV
15,19,21,24.54,57.84,95,Konkovo_park.CSV
15,19,21,24.55,57.41,98,Konkovo_park.CSV
14,19,20,24.52,55.95,101,Konkovo_park.CSV
14,18,20,24.46,54.55,104,Konkovo_park.CSV
14,18,20,24.43,54.4,107,Konkovo_park.CSV
14,18,20,24.44,54.69,110,Konkovo_park.CSV
14,18,19,24.43,54.89,113,Konkovo_park.CSV
14,18,19,24.39,54.47,116,Konkovo_park.CSV
