PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
14,20,23,25.22,47.24,6
14,20,23,25.17,47.19,9
14,20,23,25.14,47.25,12
14,19,22,25.10,47.32,15
14,19,22,25.12,47.32,18
15,19,22,25.05,47.39,21
15,19,21,25.04,47.55,24
14,19,21,25.07,47.51,27
14,19,21,25.05,47.46,30
14,19,21,25.09,48.04,33
14,19,21,25.10,48.42,36
14,18,20,25.06,47.79,39
14,18,20,25.07,47.70,42
14,18,20,25.08,47.83,45
14,18,20,25.09,47.80,48
14,18,20,25.09,48.05,51
14,19,21,25.10,49.62,54
14,19,21,25.10,50.68,57
14,19,21,25.15,50.62,60
14,18,20,25.18,52.16,63
12,18,20,25.18,49.30,6
12,18,20,25.19,50.03,9
12,17,19,25.19,49.67,12
12,17,19,25.21,50.49,15
13,17,19,25.23,50.49,18
13,17,18,25.22,50.96,21
13,16,18,25.23,51.62,24
13,16,18,25.25,50.53,27
