PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
14,18,20,26.52,52.98,6
15,19,21,26.53,54.68,9
16,21,24,26.55,54.44,12
16,23,27,26.59,51.86,15
16,24,28,26.57,50.73,18
16,24,28,26.60,50.57,21
16,24,28,26.61,51.75,24
16,24,28,26.61,51.11,27
16,23,27,26.61,50.01,30
16,22,26,26.58,49.82,33
16,22,25,26.58,49.31,36
15,22,25,26.59,49.79,39
15,22,25,26.58,50.24,42
15,22,24,26.58,50.70,45
15,22,25,26.55,49.74,48
22,34,46,26.47,49.34,6
23,35,48,26.40,48.68,9
23,35,48,26.42,48.11,12
23,34,46,26.41,49.46,15
22,32,41,26.36,48.03,18
21,31,40,26.33,48.27,21
21,31,40,26.35,48.16,24
21,31,40,26.34,48.97,27
