PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
12,16,17,29.79,49.30,6
12,16,17,30.04,54.85,9
13,16,17,30.17,51.30,12
13,16,17,30.29,51.11,15
13,16,17,30.41,54.42,18
12,15,16,30.51,53.41,21
12,15,16,30.63,54.40,24
12,15,16,30.73,56.26,27
12,15,16,30.80,56.02,30
12,15,16,30.79,51.54,33
12,15,16,30.87,47.93,36
12,15,16,30.92,51.81,39
13,15,16,30.92,49.15,42
13,15,16,30.87,49.63,45
13,15,16,30.92,49.54,48
12,15,16,30.87,45.56,51
12,15,16,30.85,42.08,54
12,15,16,30.81,40.71,57
12,15,16,30.78,42.35,60
12,15,16,30.74,41.48,63
12,15,16,30.72,41.76,66
12,15,16,30.71,41.99,69
12,15,15,30.76,46.93,71
12,14,15,30.75,46.18,74
12,14,15,30.77,43.34,77
