PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
20,27,30,20.25,67.58,6
20,27,30,20.25,67.67,9
20,27,31,20.26,67.48,12
20,27,31,20.28,67.37,15
20,27,32,20.28,67.78,18
20,27,32,20.28,67.91,21
20,27,32,20.29,68.00,24
20,27,32,20.30,68.04,27
20,27,31,20.32,68.00,30
20,27,31,20.29,67.83,33
16,24,28,20.33,67.87,6
17,24,28,20.30,67.62,9
18,24,29,20.29,67.64,12
18,25,29,20.31,67.56,15
18,25,29,20.30,67.53,18
19,25,29,20.29,67.47,21
19,26,29,20.31,67.50,24
19,26,30,20.32,67.38,27
19,27,31,20.32,67.17,30
20,27,32,20.31,67.53,33
20,27,33,20.32,67.44,36
20,28,34,20.31,67.16,39
21,28,35,20.31,67.16,42
21,28,35,20.31,67.55,45
20,28,34,20.31,67.67,48
20,28,33,20.32,67.54,51
20,27,33,20.29,67.40,54
20,27,33,20.29,67.14,57
20,27,32,20.27,67.02,60
20,26,32,20.29,67.62,63
19,26,31,20.27,67.97,66
19,26,31,20.29,67.76,69
19,26,31,20.28,67.97,72
19,26,31,20.25,68.27,75
20,26,31,20.29,68.69,78
20,26,31,20.32,69.10,80
20,26,31,20.31,69.20,83
20,27,31,20.28,69.50,86
20,27,32,20.29,69.20,89
20,27,32,20.29,68.44,92
20,27,32,20.27,67.74,95
20,27,32,20.29,67.52,98
20,27,32,20.31,67.31,101
20,27,31,20.27,67.08,104
19,27,31,20.26,67.22,107
19,26,31,20.29,67.31,110
19,26,31,20.27,67.52,113
19,27,31,20.29,67.37,116
20,27,31,20.28,67.05,119
20,27,32,20.29,67.08,122
20,28,33,20.33,67.24,125
20,28,33,20.33,66.93,128
20,28,33,20.30,66.88,131
20,28,33,20.35,66.95,134
