PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
23,31,36,20.72,66.67,6
23,31,37,20.68,66.58,9
23,32,37,20.67,66.60,12
23,32,38,20.65,66.53,15
23,32,38,20.63,66.50,18
23,32,38,20.60,66.28,21
23,32,38,20.60,66.30,24
23,32,38,20.58,66.34,27
23,32,38,20.59,66.33,30
23,32,38,20.56,66.29,33
23,32,38,20.55,66.32,36
23,32,38,20.54,66.36,39
23,32,38,20.54,66.42,42
23,32,38,20.54,66.56,45
23,32,38,20.50,66.95,48
23,32,37,20.51,67.17,51
23,32,37,20.49,67.23,54
24,32,37,20.49,67.35,57
23,32,37,20.47,67.61,60
23,32,37,20.46,67.43,63
23,32,37,20.45,67.50,66
23,32,37,20.43,67.44,69
23,32,37,20.45,67.68,72
23,32,37,20.42,67.69,75
23,31,37,20.40,67.62,78
23,30,37,20.40,67.53,80
23,30,36,20.41,67.59,83
23,30,36,20.38,67.60,86
23,30,36,20.39,67.56,89
23,31,37,20.39,67.78,92
23,31,38,20.38,68.08,95
23,31,38,20.39,68.21,98
23,31,38,20.37,68.11,101
23,31,37,20.36,67.83,104
23,31,37,20.38,68.04,107
23,31,36,20.36,68.10,110
23,31,36,20.36,68.12,113
23,31,36,20.35,68.09,116
23,31,36,20.34,68.23,119
23,31,37,20.33,68.26,122
