PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
21,31,37,20.15,68.94,6
21,31,37,20.14,69.69,9
21,31,37,20.12,69.84,12
21,31,37,20.13,69.67,15
21,31,36,20.09,69.55,18
21,31,36,20.10,69.60,21
21,31,36,20.07,69.95,24
22,31,36,20.06,69.95,27
22,32,37,20.04,69.88,30
23,32,38,20.05,69.68,33
23,32,38,20.02,69.60,36
23,32,39,20.00,69.76,39
23,32,39,19.99,69.76,42
23,33,40,19.97,69.58,45
23,33,40,19.99,69.76,48
23,33,40,19.96,69.90,51
23,33,40,19.92,69.93,54
23,32,39,19.92,69.91,57
23,32,39,19.88,70.09,60
23,32,39,19.87,70.36,63
24,33,40,19.84,70.85,66
24,33,40,19.84,70.98,69
23,32,39,19.84,71.11,72
23,32,39,19.80,70.86,75
23,32,39,19.76,70.54,78
23,32,38,19.65,70.29,80
23,32,38,19.61,70.58,83
23,32,38,19.57,70.92,86
23,32,38,19.57,71.33,89
23,32,38,19.50,71.60,92
23,32,38,19.46,71.73,95
23,32,38,19.43,71.58,98
23,32,38,19.42,71.65,101
23,32,38,19.36,71.61,104
23,32,38,19.39,71.70,107
23,32,37,19.40,72.28,110
23,32,37,19.38,72.69,113
23,32,37,19.38,72.86,116
23,32,37,19.40,73.45,119
23,32,37,19.36,73.65,122
