PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
14,19,21,23.70,54.06,6
14,20,23,23.66,54.13,9
15,22,24,23.61,54.29,12
15,22,25,23.58,54.14,15
16,22,25,23.52,53.93,18
16,22,25,23.48,54.41,21
16,23,26,23.41,54.23,24
17,23,27,23.40,54.45,27
18,24,28,23.36,55.17,30
18,24,28,23.28,54.86,33
18,24,27,23.26,55.33,36
18,24,26,23.22,55.72,39
17,23,25,23.19,55.39,42
17,22,25,23.15,55.32,45
17,22,24,23.11,54.67,48
17,22,25,23.10,54.30,51
17,22,25,23.05,54.15,54
17,22,25,23.02,54.52,57
17,23,26,23.00,55.02,60
17,23,26,22.95,55.80,63
17,23,26,22.94,55.81,66
17,23,26,22.90,55.83,69
17,23,26,22.87,56.05,72
17,22,26,22.82,55.91,75
17,22,26,22.79,55.88,77
17,23,26,22.79,55.97,80
17,23,26,22.75,56.16,83
17,23,26,22.76,56.16,86
17,23,26,22.76,56.23,89
17,23,26,22.75,56.45,92
17,24,27,22.72,56.94,95
17,24,27,22.71,57.50,98
17,24,27,22.71,57.69,101
17,24,26,22.70,57.11,104
17,24,26,22.67,57.24,107
17,23,26,22.67,56.75,110
