PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec,source_file
16,22,25,22.82,56.4,21,Tepliy_magistral.CSV
16,23,25,22.83,55.93,24,Tepliy_magistral.CSV
16,23,25,22.82,55.55,27,Tepliy_magistral.CSV
16,23,25,22.81,56.57,30,Tepliy_magistral.CSV
16,23,26,22.79,56.5,33,Tepliy_magistral.CSV
16,23,26,22.79,55.64,36,Tepliy_magistral.CSV
16,23,26,22.78,54.94,39,Tepliy_magistral.CSV
16,23,26,22.78,54.62,42,Tepliy_magistral.CSV
16,23,26,22.77,54.8,45,Tepliy_magistral.CSV
16,23,25,22.76,54.73,48,Tepliy_magistral.CSV
16,22,25,22.75,54.44,51,Tepliy_magistral.CSV
16,22,24,22.72,54.28,54,Tepliy_magistral.CSV
16,22,24,22.71,54.14,57,Tepliy_magistral.CSV
17,23,26,22.69,54.05,60,Tepliy_magistral.CSV
18,24,27,22.65,54.01,63,Tepliy_magistral.CSV
18,25,28,22.63,53.99,66,Tepliy_magistral.CSV
18,25,28,22.61,54.13,69,Tepliy_magistral.CSV
18,25,28,22.59,54.64,72,Tepliy_magistral.CSV
17,25,29,22.58,55.11,75,Tepliy_magistral.CSV
17,24,28,22.53,54.89,77,Tepliy_magistral.CSV
17,23,26,22.51,54.64,80,Tepliy_magistral.CSV
17,23,26,22.48,54.43,83,Tepliy_magistral.CSV
17,23,26,22.43,54.64,86,Tepliy_magistral.CSV
17,23,26,22.42,55.09,89,Tepliy_magistral.CSV
17,23,26,22.39,55.27,92,Tepliy_magistral.CSV
17,23,25,22.35,54.99,95,Tepliy_magistral.CSV
16,22,25,22.31,55.16,98,Tepliy_magistral.CSV
16,22,24,22.32,55.22,101,Tepliy_magistral.CSV
16,22,24,22.29,55.22,104,Tepliy_magistral.CSV
16,21,24,22.28,55.4,107,Tepliy_magistral.CSV
16,21,23,22.23,55.51,110,Tepliy_magistral.CSV
14,19,20,27.82,43.37,21,Kotlovka_magistral.CSV
14,19,20,27.72,43.64,24,Kotlovka_magistral.CSV
14,18,19,27.72,44.07,27,Kotlovka_magistral.CSV
12,15,16,27.66,44.0,6,Kotlovka_magistral.CSV
12,15,16,27.71,44.15,9,Kotlovka_magistral.CSV
12,15,16,27.73,43.91,12,Kotlovka_magistral.CSV
12,15,17,27.77,44.2,15,Kotlovka_magistral.CSV
13,16,17,27.78,44.18,18,Kotlovka_magistral.CSV
13,16,17,27.81,44.4,21,Kotlovka_magistral.CSV
13,16,17,27.85,44.51,24,Kotlovka_magistral.CSV
13,16,17,27.9,44.62,27,Kotlovka_magistral.CSV
17,23,27,23.4,54.45,27,Yasenevo_magistral.CSV
17,23,25,23.19,55.39,42,Yasenevo_magistral.CSV
17,22,25,23.15,55.32,45,Yasenevo_magistral.CSV
17,22,24,23.11,54.67,48,Yasenevo_magistral.CSV
17,22,25,23.1,54.3,51,Yasenevo_magistral.CSV
17,22,25,23.05,54.15,54,Yasenevo_magistral.CSV
17,22,25,23.02,54.52,57,Yasenevo_magistral.CSV
17,23,26,23.0,55.02,60,Yasenevo_magistral.CSV
17,23,26,22.95,55.8,63,Yasenevo_magistral.CSV
17,23,26,22.94,55.81,66,Yasenevo_magistral.CSV
17,23,26,22.9,55.83,69,Yasenevo_magistral.CSV
17,23,26,22.87,56.05,72,Yasenevo_magistral.CSV
17,22,26,22.82,55.91,75,Yasenevo_magistral.CSV
17,22,26,22.79,55.88,77,Yasenevo_magistral.CSV
17,23,26,22.79,55.97,80,Yasenevo_magistral.CSV
17,23,26,22.75,56.16,83,Yasenevo_magistral.CSV
17,23,26,22.76,56.16,86,Yasenevo_magistral.CSV
17,23,26,22.76,56.23,89,Yasenevo_magistral.CSV
17,23,26,22.75,56.45,92,Yasenevo_magistral.CSV
17,24,27,22.72,56.94,95,Yasenevo_magistral.CSV
17,24,27,22.71,57.5,98,Yasenevo_magistral.CSV
17,24,27,22.71,57.69,101,Yasenevo_magistral.CSV
17,24,26,22.7,57.11,104,Yasenevo_magistral.CSV
17,24,26,22.67,57.24,107,Yasenevo_magistral.CSV
17,23,26,22.67,56.75,110,Yasenevo_magistral.CSV
13,17,19,25.43,49.8,21,Konkovo_magistral.CSV
13,17,19,25.44,50.75,24,Konkovo_magistral.CSV
13,17,19,25.42,49.76,27,Konkovo_magistral.CSV
13,19,21,25.19,47.51,12,Konkovo_magistral.CSV
13,19,20,25.18,47.49,15,Konkovo_magistral.CSV
13,18,20,25.13,47.36,18,Konkovo_magistral.CSV
13,18,19,25.12,47.37,21,Konkovo_magistral.CSV
13,18,19,25.12,47.61,24,Konkovo_magistral.CSV
13,17,18,25.1,48.53,27,Konkovo_magistral.CSV
12,15,16,29.59,40.44,21,Akademicheskaya_magistral.CSV
12,15,16,29.65,41.01,24,Akademicheskaya_magistral.CSV
12,15,16,29.71,41.66,27,Akademicheskaya_magistral.CSV
14,18,20,30.05,44.33,6,Akademicheskaya_magistral.CSV
14,18,20,30.08,45.05,9,Akademicheskaya_magistral.CSV
14,18,20,30.16,45.84,12,Akademicheskaya_magistral.CSV
13,18,20,30.19,41.48,15,Akademicheskaya_magistral.CSV
13,17,19,30.25,43.13,18,Akademicheskaya_magistral.CSV
13,17,18,30.23,41.51,21,Akademicheskaya_magistral.CSV
13,16,18,30.24,40.18,24,Akademicheskaya_magistral.CSV
13,16,17,30.3,40.63,27,Akademicheskaya_magistral.CSV
23,32,38,20.6,66.28,21,SButovo_magistral.CSV
23,32,38,20.6,66.3,24,SButovo_magistral.CSV
23,32,38,20.58,66.34,27,SButovo_magistral.CSV
23,32,38,20.59,66.33,30,SButovo_magistral.CSV
23,32,38,20.56,66.29,33,SButovo_magistral.CSV
23,32,38,20.55,66.32,36,SButovo_magistral.CSV
23,32,38,20.54,66.36,39,SButovo_magistral.CSV
23,32,38,20.54,66.42,42,SButovo_magistral.CSV
23,32,38,20.54,66.56,45,SButovo_magistral.CSV
23,32,38,20.5,66.95,48,SButovo_magistral.CSV
23,32,37,20.51,67.17,51,SButovo_magistral.CSV
23,32,37,20.49,67.23,54,SButovo_magistral.CSV
23,32,37,20.47,67.61,60,SButovo_magistral.CSV
23,32,37,20.46,67.43,63,SButovo_magistral.CSV
23,32,37,20.45,67.5,66,SButovo_magistral.CSV
23,32,37,20.43,67.44,69,SButovo_magistral.CSV
23,32,37,20.45,67.68,72,SButovo_magistral.CSV
23,32,37,20.42,67.69,75,SButovo_magistral.CSV
23,31,37,20.4,67.62,78,SButovo_magistral.CSV
23,30,37,20.4,67.53,80,SButovo_magistral.CSV
23,30,36,20.41,67.59,83,SButovo_magistral.CSV
23,30,36,20.38,67.6,86,SButovo_magistral.CSV
23,30,36,20.39,67.56,89,SButovo_magistral.CSV
23,31,37,20.39,67.78,92,SButovo_magistral.CSV
23,31,38,20.38,68.08,95,SButovo_magistral.CSV
23,31,38,20.39,68.21,98,SButovo_magistral.CSV
23,31,38,20.37,68.11,101,SButovo_magistral.CSV
23,31,37,20.36,67.83,104,SButovo_magistral.CSV
23,31,37,20.38,68.04,107,SButovo_magistral.CSV
23,31,36,20.36,68.1,110,SButovo_magistral.CSV
23,31,36,20.36,68.12,113,SButovo_magistral.CSV
23,31,36,20.35,68.09,116,SButovo_magistral.CSV
23,31,36,20.34,68.23,119,SButovo_magistral.CSV
23,31,37,20.33,68.26,122,SButovo_magistral.CSV
14,18,20,30.5,41.92,21,Obruchevskiy_magistral.CSV
14,19,20,30.68,43.54,24,Obruchevskiy_magistral.CSV
14,19,20,30.58,43.65,27,Obruchevskiy_magistral.CSV
14,17,19,30.68,39.46,6,Obruchevskiy_magistral.CSV
14,17,19,30.83,39.71,9,Obruchevskiy_magistral.CSV
14,17,19,30.99,40.69,12,Obruchevskiy_magistral.CSV
14,17,19,31.06,42.17,15,Obruchevskiy_magistral.CSV
14,17,19,31.16,40.96,18,Obruchevskiy_magistral.CSV
14,17,18,31.25,39.95,21,Obruchevskiy_magistral.CSV
14,17,18,30.97,38.23,24,Obruchevskiy_magistral.CSV
14,16,18,30.53,40.63,27,Obruchevskiy_magistral.CSV
11,15,16,29.0,43.37,21,Zuzino_magistral.CSV
11,15,17,29.09,40.66,24,Zuzino_magistral.CSV
11,16,17,29.23,41.2,27,Zuzino_magistral.CSV
11,15,16,29.98,43.97,6,Zuzino_magistral.CSV
12,16,17,30.05,42.24,9,Zuzino_magistral.CSV
12,16,18,30.1,41.9,12,Zuzino_magistral.CSV
12,16,18,30.11,40.75,15,Zuzino_magistral.CSV
12,16,18,30.13,40.64,18,Zuzino_magistral.CSV
12,16,17,30.22,40.52,21,Zuzino_magistral.CSV
12,16,17,30.29,40.85,24,Zuzino_magistral.CSV
13,16,17,30.35,40.82,27,Zuzino_magistral.CSV
22,29,34,21.14,64.86,21,NButovo_magistral.CSV
22,29,33,21.13,64.56,24,NButovo_magistral.CSV
21,29,33,21.12,64.52,27,NButovo_magistral.CSV
21,29,33,21.09,64.41,30,NButovo_magistral.CSV
21,29,33,21.09,64.5,33,NButovo_magistral.CSV
22,29,33,21.07,64.64,36,NButovo_magistral.CSV
22,30,34,21.09,64.7,39,NButovo_magistral.CSV
22,30,34,21.08,65.03,42,NButovo_magistral.CSV
22,30,35,21.08,64.94,45,NButovo_magistral.CSV
22,30,35,21.07,64.97,48,NButovo_magistral.CSV
22,30,35,21.06,64.85,51,NButovo_magistral.CSV
22,30,35,21.05,64.98,54,NButovo_magistral.CSV
22,30,35,21.05,64.97,57,NButovo_magistral.CSV
22,29,35,21.06,65.45,60,NButovo_magistral.CSV
22,29,34,21.05,64.95,63,NButovo_magistral.CSV
21,28,33,21.04,64.77,66,NButovo_magistral.CSV
21,28,33,21.03,64.93,69,NButovo_magistral.CSV
22,29,33,21.02,64.74,72,NButovo_magistral.CSV
22,29,33,21.01,64.76,75,NButovo_magistral.CSV
22,29,33,21.01,64.82,78,NButovo_magistral.CSV
21,29,33,20.98,64.99,80,NButovo_magistral.CSV
21,29,33,20.95,64.86,83,NButovo_magistral.CSV
