PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec,source_file
12,16,18,28.39,47.17,21,Zuzino_park.CSV
12,16,18,28.37,46.46,24,Zuzino_park.CSV
12,16,17,28.34,46.69,27,Zuzino_park.CSV
11,14,16,28.31,47.69,6,Zuzino_park.CSV
11,14,16,28.33,48.51,9,Zuzino_park.CSV
11,15,16,28.35,48.71,12,Zuzino_park.CSV
11,15,17,28.34,50.01,15,Zuzino_park.CSV
11,15,17,28.36,50.1,18,Zuzino_park.CSV
12,15,17,28.34,49.18,21,Zuzino_park.CSV
12,15,17,28.35,47.53,24,Zuzino_park.CSV
12,15,17,28.34,49.31,27,Zuzino_park.CSV
11,15,16,28.22,50.02,6,Zuzino_park.CSV
11,15,16,28.21,49.54,9,Zuzino_park.CSV
11,15,16,28.19,49.17,12,Zuzino_park.CSV
12,15,16,28.2,49.07,15,Zuzino_park.CSV
12,15,16,28.14,46.8,18,Zuzino_park.CSV
12,15,16,28.12,44.93,21,Zuzino_park.CSV
12,15,16,28.09,47.13,24,Zuzino_park.CSV
12,15,16,28.04,46.22,27,Zuzino_park.CSV
15,18,20,28.35,40.69,21,Akademicheskaya_station.CSV
15,18,20,28.43,39.85,24,Akademicheskaya_station.CSV
14,18,20,28.44,39.75,27,Akademicheskaya_station.CSV
14,18,19,28.57,41.42,6,Akademicheskaya_station.CSV
14,18,19,28.6,42.39,9,Akademicheskaya_station.CSV
14,18,19,28.65,40.89,12,Akademicheskaya_station.CSV
14,18,19,28.67,39.81,15,Akademicheskaya_station.CSV
14,18,19,28.69,39.85,18,Akademicheskaya_station.CSV
14,18,19,28.73,41.48,21,Akademicheskaya_station.CSV
15,18,19,28.82,43.78,24,Akademicheskaya_station.CSV
15,18,19,28.86,42.88,27,Akademicheskaya_station.CSV
16,22,25,22.82,56.4,21,Tepliy_magistral.CSV
16,23,25,22.83,55.93,24,Tepliy_magistral.CSV
16,23,25,22.82,55.55,27,Tepliy_magistral.CSV
16,23,25,22.81,56.57,30,Tepliy_magistral.CSV
16,23,26,22.79,56.5,33,Tepliy_magistral.CSV
16,23,26,22.79,55.64,36,Tepliy_magistral.CSV
16,23,26,22.78,54.94,39,Tepliy_magistral.CSV
16,23,26,22.78,54.62,42,Tepliy_magistral.CSV
16,23,26,22.77,54.8,45,Tepliy_magistral.CSV
16,23,25,22.76,54.73,48,Tepliy_magistral.CSV
16,22,25,22.75,54.44,51,Tepliy_magistral.CSV
16,22,24,22.72,54.28,54,Tepliy_magistral.CSV
16,22,24,22.71,54.14,57,Tepliy_magistral.CSV
17,23,26,22.69,54.05,60,Tepliy_magistral.CSV
18,24,27,22.65,54.01,63,Tepliy_magistral.CSV
18,25,28,22.63,53.99,66,Tepliy_magistral.CSV
18,25,28,22.61,54.13,69,Tepliy_magistral.CSV
18,25,28,22.59,54.64,72,Tepliy_magistral.CSV
17,25,29,22.58,55.11,75,Tepliy_magistral.CSV
17,24,28,22.53,54.89,77,Tepliy_magistral.CSV
17,23,26,22.51,54.64,80,Tepliy_magistral.CSV
17,23,26,22.48,54.43,83,Tepliy_magistral.CSV
17,23,26,22.43,54.64,86,Tepliy_magistral.CSV
17,23,26,22.42,55.09,89,Tepliy_magistral.CSV
17,23,26,22.39,55.27,92,Tepliy_magistral.CSV
17,23,25,22.35,54.99,95,Tepliy_magistral.CSV
16,22,25,22.31,55.16,98,Tepliy_magistral.CSV
16,22,24,22.32,55.22,101,Tepliy_magistral.CSV
16,22,24,22.29,55.22,104,Tepliy_magistral.CSV
16,21,24,22.28,55.4,107,Tepliy_magistral.CSV
16,21,23,22.23,55.51,110,Tepliy_magistral.CSV
12,16,17,26.4,44.97,21,Zuzino_dvor.CSV
12,16,17,26.47,44.97,24,Zuzino_dvor.CSV
12,16,17,26.49,45.6,27,Zuzino_dvor.CSV
13,16,18,26.51,47.46,30,Zuzino_dvor.CSV
14,16,17,26.61,46.21,6,Zuzino_dvor.CSV
15,16,18,26.58,44.73,9,Zuzino_dvor.CSV
15,17,18,26.62,45.19,12,Zuzino_dvor.CSV
14,17,18,26.64,45.93,15,Zuzino_dvor.CSV
14,16,17,26.66,44.84,18,Zuzino_dvor.CSV
14,16,17,26.68,45.8,21,Zuzino_dvor.CSV
14,16,17,26.67,46.5,24,Zuzino_dvor.CSV
14,16,17,26.61,45.78,27,Zuzino_dvor.CSV
14,18,19,26.75,47.31,6,Obruchevskiy_dvor.CSV
14,18,19,26.73,47.34,9,Obruchevskiy_dvor.CSV
14,18,19,26.75,48.69,12,Obruchevskiy_dvor.CSV
13,17,18,26.74,47.72,15,Obruchevskiy_dvor.CSV
13,17,18,26.66,46.57,18,Obruchevskiy_dvor.CSV
14,17,19,26.57,47.21,21,Obruchevskiy_dvor.CSV
14,18,19,26.4,45.4,24,Obruchevskiy_dvor.CSV
14,18,19,26.31,44.89,27,Obruchevskiy_dvor.CSV
14,18,19,26.17,44.8,30,Obruchevskiy_dvor.CSV
14,18,19,26.09,44.97,33,Obruchevskiy_dvor.CSV
14,18,19,26.11,45.57,36,Obruchevskiy_dvor.CSV
14,17,19,25.97,45.56,39,Obruchevskiy_dvor.CSV
14,17,18,25.9,45.58,42,Obruchevskiy_dvor.CSV
13,17,18,25.89,45.66,45,Obruchevskiy_dvor.CSV
13,17,18,25.93,46.55,48,Obruchevskiy_dvor.CSV
13,17,18,26.0,47.02,51,Obruchevskiy_dvor.CSV
13,17,18,25.91,46.71,54,Obruchevskiy_dvor.CSV
13,17,19,25.85,45.97,57,Obruchevskiy_dvor.CSV
14,17,19,25.85,45.8,60,Obruchevskiy_dvor.CSV
14,17,19,25.88,46.04,63,Obruchevskiy_dvor.CSV
14,17,18,25.87,46.01,66,Obruchevskiy_dvor.CSV
14,17,18,25.81,46.02,69,Obruchevskiy_dvor.CSV
14,17,18,25.8,46.33,71,Obruchevskiy_dvor.CSV
